feature,ranking,selected
num__idade,1,True
cat__fumante_x_regiao_0.0,1,True
num__idade_x_imc,1,True
num__idade_x_filhos,1,True
num__fumante_x_imc,1,True
num__idade_div_imc,2,False
num__imc,3,False
num__fumante_x_idade,4,False
num__imc_div_idade,5,False
num__imc_x_filhos,6,False
num__imc_div_filhos,7,False
num__idade_div_filhos,8,False
num__filhos_div_imc,9,False
num__facebook_x_idade,10,False
num__facebook_x_imc,11,False
cat__fumante_x_classe_0.0,12,False
num__filhos_div_idade,13,False
bin__cat_fumante_sim,13,False
cat__cat_idade_adulto,15,False
cat__signo_libra,16,False
cat__signo_virgem,16,False
cat__cat_idade_senior,18,False
bin__sexo_m,19,False
cat__signo_escorpiao,19,False
num__facebook_x_filhos,21,False
cat__facebook_x_classe_3.0,21,False
cat__cat_regiao_4.0,23,False
cat__facebook_x_classe_1.0,24,False
cat__facebook_x_regiao_4.0,25,False
cat__cat_filhos_muitos,25,False
cat__cat_classe_10.0,27,False
cat__cat_imc_sobrepeso,28,False
cat__signo_aquario,30,False
cat__cat_regiao_1.0,30,False
cat__cat_regiao_2.0,30,False
cat__facebook_x_classe_8.0,32,False
cat__cat_idade_jovem-adulto,33,False
cat__cat_idade_jovem,34,False
cat__signo_aries,35,False
num__filhos,36,False
cat__cat_imc_obesidade grau 1,36,False
cat__signo_gemeos,38,False
cat__signo_touro,39,False
cat__facebook_x_classe_4.0,40,False
cat__signo_cancer,41,False
bin__fumante_x_facebook_1.0,43,False
cat__cat_regiao_3.0,43,False
cat__cat_classe_5.0,43,False
cat__facebook_x_regiao_2.0,45,False
cat__cat_classe_4.0,47,False
cat__facebook_x_regiao_1.0,47,False
cat__cat_classe_3.0,47,False
cat__cat_filhos_poucos,49,False
cat__cat_imc_obesidade severa,50,False
cat__facebook_x_classe_7.0,50,False
cat__signo_leao,52,False
cat__facebook_x_regiao_0.0,52,False
cat__cat_filhos_nenhum,54,False
cat__facebook_x_classe_0.0,55,False
bin__cat_facebook_sim,55,False
cat__cat_classe_8.0,57,False
cat__signo_capricornio,58,False
cat__cat_classe_7.0,59,False
cat__cat_classe_2.0,60,False
cat__cat_classe_9.0,61,False
cat__facebook_x_classe_9.0,62,False
cat__facebook_x_classe_5.0,62,False
cat__facebook_x_classe_10.0,64,False
cat__fumante_x_classe_1.0,65,False
cat__cat_classe_6.0,66,False
cat__cat_classe_1.0,67,False
cat__facebook_x_classe_6.0,68,False
cat__signo_sagitario,69,False
cat__facebook_x_regiao_3.0,69,False
cat__cat_imc_normal,71,False
cat__signo_peixes,72,False
cat__facebook_x_classe_2.0,73,False
cat__cat_filhos_alguns,74,False
num__fumante_x_filhos,74,False
cat__fumante_x_regiao_2.0,76,False
cat__fumante_x_classe_7.0,77,False
cat__cat_imc_obesidade mórbida,78,False
cat__fumante_x_classe_4.0,78,False
cat__fumante_x_classe_6.0,80,False
cat__cat_imc_magreza leve,81,False
cat__fumante_x_classe_5.0,82,False
cat__fumante_x_regiao_4.0,82,False
cat__fumante_x_classe_9.0,84,False
cat__fumante_x_regiao_1.0,84,False
cat__fumante_x_regiao_3.0,86,False
cat__fumante_x_classe_2.0,87,False
cat__fumante_x_classe_8.0,88,False
cat__fumante_x_classe_3.0,89,False
cat__fumante_x_classe_10.0,90,False
cat__cat_imc_magreza moderada,91,False
cat__cat_imc_magreza grave,92,False
