feature,ranking,selected
numeric__idade,1,True
numeric__imc,1,True
binary_cat__fumante_1.0,1,True
numeric__filhos,2,False
nonbinary_cat__signo_virgem,3,False
binary_cat__facebook_1.0,4,False
nonbinary_cat__signo_escorpiao,5,False
nonbinary_cat__regiao_4.0,5,False
nonbinary_cat__signo_libra,7,False
nonbinary_cat__classe_10.0,8,False
nonbinary_cat__signo_gemeos,9,False
binary_cat__sexo_m,10,False
nonbinary_cat__regiao_1.0,11,False
nonbinary_cat__signo_aquario,12,False
nonbinary_cat__classe_3.0,13,False
nonbinary_cat__classe_5.0,14,False
nonbinary_cat__signo_aries,15,False
nonbinary_cat__regiao_2.0,16,False
nonbinary_cat__signo_touro,17,False
nonbinary_cat__classe_8.0,18,False
nonbinary_cat__classe_1.0,19,False
nonbinary_cat__classe_6.0,20,False
nonbinary_cat__regiao_3.0,21,False
nonbinary_cat__classe_2.0,22,False
nonbinary_cat__classe_9.0,23,False
nonbinary_cat__classe_7.0,24,False
nonbinary_cat__classe_4.0,26,False
nonbinary_cat__signo_cancer,26,False
nonbinary_cat__signo_leao,26,False
nonbinary_cat__signo_capricornio,28,False
nonbinary_cat__signo_sagitario,29,False
nonbinary_cat__signo_peixes,30,False
