iter	Passed	Remaining
0	46	46194
1	47	23500
2	47	15890
3	48	12085
4	49	9791
5	49	8266
6	50	7171
7	51	6358
8	52	5727
9	52	5188
10	53	4773
11	53	4425
12	54	4133
13	55	3887
14	55	3672
15	56	3482
16	57	3316
17	57	3156
18	58	3022
19	59	2903
20	59	2794
21	60	2696
22	61	2610
23	62	2528
24	62	2450
25	63	2380
26	64	2315
27	64	2254
28	65	2184
29	65	2121
30	66	2073
31	67	2031
32	67	1989
33	68	1950
34	69	1912
35	70	1876
36	70	1843
37	71	1811
38	72	1780
39	72	1750
40	73	1721
41	74	1694
42	74	1664
43	75	1640
44	75	1607
45	76	1584
46	77	1563
47	77	1543
48	78	1523
49	79	1506
50	80	1490
51	80	1473
52	81	1456
53	82	1442
54	83	1427
55	83	1411
56	84	1397
57	85	1386
58	86	1375
59	86	1362
60	87	1349
61	88	1338
62	89	1326
63	89	1315
64	90	1304
65	91	1293
66	92	1284
67	92	1273
68	93	1262
69	94	1252
70	94	1237
71	95	1228
72	95	1218
73	96	1210
74	97	1201
75	98	1192
76	98	1184
77	99	1177
78	100	1170
79	101	1162
80	101	1154
81	102	1147
82	103	1140
83	103	1132
84	104	1126
85	105	1119
86	105	1109
87	106	1103
88	107	1097
89	108	1092
90	108	1086
91	109	1080
92	110	1074
93	110	1067
94	111	1062
95	112	1056
96	112	1051
97	113	1045
98	114	1040
99	115	1036
100	115	1031
101	116	1026
102	117	1022
103	118	1017
104	118	1013
105	119	1009
106	120	1004
107	120	998
108	121	993
109	122	989
110	123	985
111	123	981
112	124	978
113	125	974
114	126	970
115	126	966
116	127	962
117	128	958
118	128	954
119	129	950
120	130	946
121	130	942
122	131	938
123	132	934
124	133	931
125	135	937
126	135	933
127	136	930
128	137	927
129	138	927
130	139	926
131	140	926
132	142	926
133	142	923
134	144	923
135	145	925
136	146	924
137	147	924
138	149	924
139	150	923
140	151	921
141	152	921
142	153	920
143	154	919
144	156	921
145	157	921
146	158	920
147	159	919
148	160	919
149	162	918
150	162	916
151	163	913
152	164	911
153	165	909
154	166	906
155	167	903
156	167	900
157	168	897
158	169	894
159	170	892
160	170	890
161	171	887
162	173	888
163	173	885
164	174	883
165	175	880
166	175	877
167	177	878
168	178	875
169	178	873
170	179	871
171	180	868
172	181	866
173	181	863
174	182	862
175	183	860
176	184	858
177	185	855
178	186	853
179	186	851
180	187	848
181	188	845
182	188	843
183	189	840
184	190	838
185	190	835
186	191	833
187	192	830
188	193	828
189	193	826
190	194	824
191	195	821
192	196	819
193	196	817
194	197	814
195	198	813
196	199	811
197	199	809
198	200	807
199	201	805
200	202	803
201	202	801
202	203	797
203	203	795
204	204	793
205	205	791
206	206	789
207	206	787
208	207	785
209	208	783
210	208	781
211	209	780
212	210	778
213	211	776
214	212	774
215	212	772
216	213	770
217	214	768
218	214	766
219	215	764
220	216	762
221	217	760
222	217	759
223	218	757
224	219	756
225	220	754
226	221	752
227	221	750
228	222	749
229	223	747
230	224	745
231	224	743
232	225	741
233	226	739
234	226	738
235	227	736
236	228	734
237	228	732
238	229	731
239	230	729
240	230	727
241	231	725
242	232	724
243	233	722
244	233	720
245	234	718
246	235	717
247	236	715
248	236	713
249	237	712
250	238	710
251	238	709
252	239	707
253	240	706
254	241	704
255	241	703
256	242	701
257	243	699
258	244	698
259	244	696
260	245	696
261	246	694
262	247	693
263	248	691
264	248	690
265	249	688
266	250	687
267	250	685
268	251	683
269	252	682
270	253	680
271	253	679
272	254	677
273	255	676
274	256	675
275	256	673
276	257	672
277	258	670
278	258	668
279	259	667
280	261	669
281	262	668
282	263	667
283	264	666
284	264	664
285	265	663
286	266	662
287	267	660
288	268	659
289	268	658
290	269	657
291	270	656
292	271	654
293	272	653
294	272	651
295	273	650
296	274	648
297	274	647
298	275	646
299	276	644
300	276	643
301	277	641
302	278	640
303	279	638
304	279	637
305	280	636
306	281	634
307	281	633
308	282	632
309	283	630
310	284	629
311	284	628
312	285	627
313	286	626
314	287	624
315	288	623
316	288	622
317	289	621
318	290	619
319	291	618
320	291	617
321	292	615
322	293	614
323	293	613
324	294	611
325	295	610
326	295	609
327	296	608
328	297	606
329	298	605
330	298	604
331	299	602
332	300	601
333	301	600
334	301	599
335	303	600
336	304	598
337	305	597
338	305	596
339	306	595
340	307	593
341	308	592
342	308	591
343	309	590
344	310	588
345	310	587
346	311	586
347	312	584
348	312	583
349	313	582
350	314	581
351	315	579
352	315	578
353	316	577
354	317	576
355	317	575
356	318	573
357	319	572
358	320	571
359	320	570
360	321	569
361	322	567
362	323	566
363	323	565
364	324	564
365	325	563
366	325	562
367	326	561
368	327	560
369	328	558
370	328	557
371	329	556
372	330	555
373	331	554
374	331	552
375	332	551
376	333	550
377	333	549
378	334	548
379	335	546
380	336	546
381	336	544
382	337	543
383	338	542
384	339	541
385	339	540
386	340	539
387	341	538
388	341	537
389	342	536
390	343	534
391	344	533
392	344	532
393	345	531
394	346	530
395	347	529
396	347	528
397	348	527
398	349	526
399	349	524
400	350	523
401	351	522
402	352	521
403	352	520
404	353	519
405	354	518
406	355	517
407	355	516
408	356	515
409	357	513
410	357	512
411	358	511
412	359	510
413	360	509
414	360	508
415	361	507
416	362	506
417	363	505
418	363	504
419	364	503
420	365	502
421	366	501
422	366	500
423	367	499
424	368	498
425	369	497
426	369	496
427	370	495
428	371	494
429	372	493
430	372	492
431	373	491
432	374	490
433	375	489
434	375	488
435	376	487
436	377	486
437	378	485
438	378	483
439	379	482
440	380	482
441	380	480
442	381	479
443	382	478
444	383	477
445	383	476
446	384	475
447	385	474
448	386	473
449	386	472
450	387	471
451	388	470
452	388	469
453	389	468
454	390	467
455	391	466
456	391	465
457	392	464
458	393	463
459	393	462
460	394	461
461	395	460
462	396	459
463	396	458
464	397	457
465	398	456
466	398	455
467	399	454
468	400	453
469	401	452
470	401	451
471	402	450
472	403	449
473	403	448
474	404	447
475	405	446
476	406	445
477	407	444
478	408	443
479	408	442
480	409	441
481	410	440
482	411	439
483	411	438
484	412	438
485	413	437
486	413	436
487	414	435
488	415	434
489	416	433
490	416	432
491	417	431
492	418	430
493	419	429
494	419	428
495	420	427
496	421	426
497	421	425
498	422	424
499	423	423
500	424	422
501	424	421
502	425	420
503	426	419
504	427	418
505	428	417
506	428	416
507	429	416
508	430	415
509	431	414
510	431	413
511	432	412
512	433	411
513	434	410
514	434	409
515	435	408
516	436	407
517	436	406
518	437	405
519	438	404
520	439	403
521	440	402
522	440	401
523	441	401
524	442	400
525	442	399
526	443	398
527	444	397
528	445	396
529	446	395
530	446	394
531	447	393
532	448	392
533	448	391
534	449	390
535	450	389
536	451	388
537	451	387
538	452	387
539	453	386
540	453	385
541	454	384
542	455	383
543	456	382
544	457	381
545	457	380
546	458	379
547	459	378
548	459	377
549	460	376
550	461	375
551	461	374
552	462	374
553	463	373
554	464	372
555	465	371
556	465	370
557	466	369
558	467	368
559	467	367
560	468	366
561	469	365
562	470	364
563	470	363
564	471	362
565	472	362
566	472	361
567	473	360
568	474	359
569	475	358
570	476	357
571	476	356
572	477	355
573	478	354
574	479	354
575	479	353
576	480	352
577	481	351
578	481	350
579	482	349
580	483	348
581	484	347
582	485	346
583	485	346
584	486	345
585	487	344
586	488	343
587	488	342
588	489	341
589	490	340
590	491	339
591	491	338
592	492	338
593	493	337
594	493	336
595	494	335
596	495	334
597	496	333
598	496	332
599	497	331
600	498	330
601	499	329
602	499	329
603	500	328
604	501	327
605	502	326
606	502	325
607	503	324
608	504	323
609	505	322
610	505	321
611	506	321
612	507	320
613	507	319
614	508	318
615	509	317
616	510	316
617	510	315
618	511	314
619	512	313
620	512	313
621	513	312
622	514	311
623	514	310
624	515	309
